A B C D E F G n   q1   q2   q3
0 0 0 0 0 0 0 34 1.1 23.0 33.8
0 0 0 0 1 0 0  2 1.6  6.6  2.0
0 1 0 0 0 0 0  6 2.2 12.7  6.3
0 1 0 0 0 0 1  1 2.8  1.7  1.5
0 1 0 0 1 0 0  4 3.3  3.6  3.0
0 1 0 0 1 0 1  5 4.2  0.5  4.7
1 0 0 0 0 0 0  2 1.4  3.0  2.1
1 0 1 0 1 0 1  1 1.6  0.2  0.2
1 1 0 0 0 0 0  2 2.8  1.7  1.3
1 1 0 0 0 0 1  1 3.5  0.3  1.6
1 1 0 0 1 0 0  2 4.2  0.5  2.9
1 1 0 0 1 0 1  7 5.3  3.7  6.5
1 1 0 0 1 1 1  1 1.4  2.6  1.4
1 1 0 1 0 0 1  1 1.3  0.1  0.1
1 1 0 1 1 0 1  2 2.0  4.3  2.6
1 1 0 1 1 1 1  3 0.5  3.1  2.0
1 1 1 0 1 0 1 13 3.3 11.5  9.6
1 1 1 0 1 1 1  5 0.9  8.4  8.7
1 1 1 1 1 0 1 10 1.2 13.5 13.6
1 1 1 1 1 1 1 16 0.3  9.9 12.3
