hometeam	awayteam	homescore awayscore
Rangers       	Livingston    	3 	  0 
Livingston    	Rangers       	0 	  2 
Rangers       	Livingston    	4 	  0 
Livingston    	Rangers       	0 	  3 
Rangers       	Livingston      1 	  1 
Livingston    	Rangers       	1 	  2 
Rangers       	Livingston    	1 	  0 
Livingston    	Rangers       	1 	  3 
Rangers       	Livingston    	3 	  0 
Livingston    	Rangers       	0 	  3 
Livingston    	Rangers       	0 	  1 
Rangers       	Livingston    	2 	  0 
Livingston    	Rangers       	0 	  0 
Rangers       	Livingston    	1 	  0 
Livingston    	Rangers         0 	  2 
Rangers       	Livingston      3 	  1 
Livingston    	Rangers         0 	  3 
Rangers       	Livingston      3 	  0 
Livingston    	Rangers         1 	  0 
Rangers       	Livingston      4 	  1 
Livingston    	Rangers         2 	  2 
Rangers       	Livingston      3 	  0 
Rangers       	Livingston      3 	  0 
Livingston    	Rangers         1 	  4 
Rangers       	Livingston      4 	  0 
Livingston    	Rangers         1 	  1 
Rangers       	Livingston      1 	  0 
Livingston    	Rangers         0 	  0 
Livingston    	Rangers         1 	  2 
Rangers       	Livingston      4 	  3 
Livingston    	Rangers         0 	  2 
Livingston    	Rangers         2 	  1 
Rangers       	Livingston      3 	  0 
Livingston    	Rangers         0 	  2 
Rangers       	Livingston      0 	  0 
Celtic		Rangers		3	  0 
Celtic		Rangers		2	  1 
Rangers		Celtic		3	  3 
Celtic		Rangers		2	  1 
Rangers		Celtic		0	  1 
Rangers		Celtic		3	  0 
Celtic		Rangers		3	  2 
Rangers		Celtic		2	  2 
Celtic		Rangers		4	  0 
Celtic		Rangers		1	  1 
Rangers		Celtic		1	  2 
Celtic		Rangers		3	  0 
Rangers		Celtic		1	  0 
Rangers		Celtic		4	  1 
Celtic		Rangers		1	  1 
Rangers		Celtic		1	  0 
Celtic		Rangers		0	  2 
Celtic		Rangers		1	  2 
Rangers		Celtic		0	  2 
Rangers		Celtic		2	  0 
Celtic		Rangers		2	  1 
Rangers		Celtic		1	  0 
Celtic		Rangers		1	  0 
Celtic		Rangers		5	  0 
Rangers		Celtic		2	  3 
Celtic		Rangers		0	  0 
Rangers		Celtic		0	  2 
Rangers		Celtic		1	  5 
Celtic		Rangers		1	  1 
Rangers		Celtic		1	  2 
Celtic		Rangers		5	  1 
Celtic		Rangers		3	  0 
Rangers		Celtic		3	  2 
Celtic		Rangers		1	  0 
Rangers		Celtic		4	  2 
Rangers		Celtic		0	  0 
Celtic		Rangers		3	  0 
Rangers		Celtic		0	  2 
Celtic		Rangers		1	  3 
Celtic		Rangers		2	  1 
Rangers		Celtic		1	  0 
Celtic		Rangers		1	  1 
Rangers		Celtic		2	  1 
Rangers		Celtic		1	  0 
Celtic		Rangers		0	  0 
Rangers		Celtic		0	  1 
Celtic		Rangers		2	  4 
Celtic		Rangers		3	  2 
Celtic		Rangers		2	  1 
Rangers		Celtic		1	  0 
Rangers		Celtic		3	  0 
Rangers		Celtic		2	  0 
Celtic		Rangers		0	  1 
Rangers		Celtic		1	  1 
Celtic		Rangers		2	  0 
Celtic		Rangers		0	  0 
Rangers		Celtic		0	  1 
Celtic		Rangers		3	  0 
Rangers		Celtic		3	  1 
Rangers		Celtic		1	  2 
Celtic		Rangers		0	  2 
Rangers		Celtic		2	  0 
Celtic		Rangers		1	  0 
Celtic		Rangers		1	  0 
Rangers		Celtic		1	  2 
Celtic		Rangers		3	  0 
Rangers		Celtic		0	  1 
Rangers		Celtic		1	  2 
Celtic		Rangers		1	  0 
Rangers		Celtic		3	  2 
Celtic		Rangers		3	  3 
Celtic		Rangers		1	  1 
Rangers		Celtic		1	  1 
Celtic		Rangers		2	  1 
Rangers		Celtic		0	  2 
Rangers		Celtic		0	  3 
Celtic		Rangers		1	  0 
Rangers		Celtic		5	  1 
Celtic		Rangers		6	  2 
