Constructor	AUS	BHR	CHN	AZE	ESP	MON	CAN	FRA	AUT	GBR	GER	HUN	BEL	ITA	SIN	RUS	JPN	USA	MEX	BRA	ABU	points
Mercedes	2	2	2	1	1	3	2	1	Ret	2	1	1	2	1	1	1	1	3	4	1	1	655
Mercedes	8	3	4	14	2	5	5	7	Ret	4	2	5	4	3	4	2	2	5	5	5	5	NA
Ferrari		1	1	3	2	4	2	1	3	2	1	3	2	1	2	3	3	5	1	2	3	2	571
Ferrari		3	Ret	8	4	Ret	4	6	5	3	3	Ret	3	Ret	4	5	4	6	4	3	6	Ret	NA
RedBull		4	Ret	1	Ret	3	1	3	2	1	5	4	4	3	5	2	5	3	2	1	2	3	419
RedBull		6	Ret	5	Ret	5	9	4	4	Ret	15	Ret	Ret	Ret	Ret	6	6	4	Ret	Ret	4	4	NA
Renault		7	6	6	5	7	8	7	8	12	6	5	9	11	8	8	12	10	6	6	12	6	122
Renault		10	11	9	Ret	Ret	10	8	9	Ret	Ret	12	12	Ret	13	10	17	Ret	7	Ret	Ret	Ret	NA
Haas		Ret	5	10	13	6	13	12	6	4	9	6	7	7	16	15	8	8	Ret	15	8	9	93
Haas		Ret	13	17	Ret	Ret	15	13	11	5	Ret	11	10	8	DSQ	18	11	Ret	DSQ	16	9	10	NA
McLaren		5	7	7	7	8	14	16	12	8	8	13	8	15	12	7	14	14	11	8	15	11	62
McLaren		9	8	13	9	Ret	Ret	Ret	16	15	11	16	Ret	Ret	Ret	12	16	15	Ret	Ret	17	14	NA
ForceIndia      11	10	11	3	9	6	9	Ret	6	7	7	13 	5	6	16	9	7	8	11	10	8	NA
ForceIndia 	12	16	12	Ret	Ret	12	14	Ret	7	10	8	14	6	7	Ret	10	9	DSQ	Ret	14	Ret 	NA
Sauber          13	9	16	6	10	11	10	10	9	Ret	9	15	10	11	9	7	12	10	7	7	7	48
Sauber		Ret	12	19	11	13	18	15	13	10	Ret	15	Ret	Ret	15	11	13	Ret	Ret	9	Ret	Ret	NA
Scuderia	15	4	18	10	12	7	11	14	11	13	10	6	9	14	13	Ret	11	9	10	11	12	33
Scuderia	Ret	17	20	12	Ret	19	Ret	Ret	Ret	Ret	14	11	14	Ret	17	Ret	13	12	14	13	Ret	NA
Williams	14	14	14	8	11	16	17	15	13	12	Ret	16	12	9	14	15	16	13	12	16	13	7
Williams	Ret	15	15	Ret	14	17	Ret	17	14	14	Ret	17	13	10	19	18	17	14	13	18	15	NA
