Constructor	AUS	BHR	CHN	AZE	ESP	MON	CAN	FRA	AUT	GBR	GER	HUN	BEL	ITA	SIN	RUS	JPN	MEX	USA	BRA	ABU	Points
Merc		1	1	1	1	1	1	1	1	3	1	9	1	2	2	4	1	1	1	1	7	1	739
Merc		2 	2	2	2	2	3	4	2	5	2	Ret	8	3	3	5	2	3	3	2	Ret	4	NA
Ferrari 	4 	3	3	3	4	2	2	3	2	3	2	3	1	1	1	3	2	2	4	17	3	504
Ferrari 	5 	5	5	5	5	Ret	3	5	4	16	Ret	4	4	13	2	Ret	6	4	Ret	18	5	NA
RBRH		3	4	4	4	3	4	5	4	1	4	1	2	5	6	3	4	4	5	3	1	2	417
RBRH		11 	8	6	Ret	6	5	8	10	7	5	14	6	Ret	8	6	5	Ret	6	5	14	6	NA
MR		12	6	14	7	8	6	11	6	6	6	5	5	11	10	7	6	5	13	7	3	8	145
MR		Ret	19	18	8	Ret	11	Ret	9	8	11	Ret	9	Ret	Ret	12	8	11	Ret	8	8	10	NA
R		7	17	7	14	12	9	6	8	12	7	Ret	12	8	4	9	10	DSQ	8	6	6	11	91
R		Ret	18	Ret	Ret	13	13	7	11	13	10	Ret	14	14	5	14	Ret	DSQ	10	9	15	12	NA
STRH		10	9	10	11	9	7	10	14	15	9	3	10	7	11	8	12	7	9	12	2	9	85
STRH		14	12	Ret	Ret	11	8	Ret	15	17	12	6	15	9	Ret	15	14	10	11	16	10	18	NA
RPBM		9	10	8	6	15	12	9	12	11	13	4	11	6	7	13	7	8	7	10	9	7	73
RPBM		13	14	12	9	Ret	16	12	13	14	17	Ret	17	10	12	Ret	11	9	12	13	19	Ret	NA
ARRF		8	7	9	10	14	17	13	7	9	8	12	7	16	9	10	13	12	14	11	4	13	57
ARRF		15	11	15	12	16	19	15	16	10	Ret	13	18	18	15	Ret	15	14	Ret	14	5	16	NA
HF		6 	13	11	13	7	10	14	17	16	Ret	7	13	12	16	11	9	13	15	15	11	14	28
HF		Ret	Ret	13	Ret	10	14	17	Ret	19	Ret	8	Ret	13	Ret	17	Ret	15	17	18	13	15	NA
WM		16	15	16	15	17	15	16	18	18	14	10	16	15	14	16	Ret	16	16	17	12	17	1
WM		17	16	17	16	18	18	18	19	20	15	11	19	17	17	Ret	Ret	17	18	Ret	16	19	NA
