Constructor AUT STY	HUN	GBR	70A	ESP	BEL	ITA	TUS	RUS	EIF	POR	EMI	TUR	BHR	SKH	ABU	Points
Merc	    1	1	1	1	2	1	1	5	1	1	1	1	1	1	1	8	2	573
Merc	    4	2	3	11	3	3	2	7	2	3	Ret	2	2	14	8	9	3	NA
RBRH	    13	3	2	2	1	2	3	15	3	2	2	3	15	6	2	6	1	319
RBRH	    Ret	4	5	8	5	8	6	Ret	Ret	10	Ret	12	Ret	7	3	Ret	4	NA
MR	    3	5	9	5	9	6	7	2	6	15	5	6	7	5	4	4	5	202
MR	    5	9	13	13	13	10	DNS	4	Ret	Ret	Ret	13	8	8	5	10	6	NA
RPBWTM	    6	6	4	9	6	4	9	3	5	4	4	7	6	2	18	1	10	195
RPBWTM	    Ret	7	7	DNS	7	5	10	10	Ret	Ret	8	Ret	13	9	Ret	3	Ret	NA
R	    8	8	8	4	8	11	4	6	4	5	3	8	3	10	7	2	7	181
R	    Ret	Ret	14	6	14	13	5	8	Ret	7	Ret	9	Ret	11	9	5	9	NA
Ferrari	    2	Ret	6	3	4	7	13	Ret	8	6	7	4	5	3	10	12	13	131
Ferrari	    10	Ret	11	10	12	Ret	14	Ret	10	13	11	10	12	4	13	Ret	14	NA
ATH	    7	10	12	7	10	9	8	1	7	8	6	5	4	12	6	7	8	107
ATH	    12	15	Ret	Ret	11	12	11	9	Ret	9	15	19	Ret	13	11	11	11	NA
ARRF	    9	11	15	14	15	14	12	13	9	11	10	11	9	15	15	13	12	8
ARRF	    Ret	14	17	17	17	16	Ret	16	Ret	14	12	15	10	Ret	16	14	16	NA
HF	    Ret	12	10	16	16	15	15	12	12	12	9	16	14	17	17	15	18	3
HF	    Ret	13	16	Ret	Ret	19	17	Ret	Ret	17	13	17	Ret	Ret	Ret	17	19	NA
WM	    11	16	18	12	18	17	16	11	11	16	14	14	11	16	12	16	15	0
WM	    Ret	17	19	15	19	18	Ret	14	Ret	18	Ret	18	Ret	Ret	14	Ret	17	NA
