Constructor	BHR	SAU	AUS	AZE	MIA	MON	ESP	CAN	AUT	GBR	HUN	BEL	NED	ITA	SIN	JPN	QAT	USA	MXC	SAP	LVG	ABU	points
RedBull	    	1	1	1	1	1	1	1	1	1 	1	1	1	1	1	5	1	1	1	1	1	1	1	860
RedBull		2	2	5	2	2	16	4	6	3	6	3	2	4	2	8	Ret	10	4	Ret	4	3	4	NA
Mercedes	5	4	2	6	4	4	2	3	7	3	4	4 	6	5	3	5	4	5	2	8	7	3	409
Mercedes	7	5	Ret	8 	6	5	3	Ret	8	5	6	6	17	6	16	7	Ret	DSQ	6	Ret	8	9	NA
Ferrari		4	6	12	3 	5	6	5	4	2	9	7	3 	5	3	1	4	5	3	3	6	2	2	406
Ferrari		Ret	7	Ret	5	7	8	11	5	6	10	8	Ret	Ret	4	4	6	DNS	DSQ	4	DNS	6	18	NA
McLaren		17	15	6	9	17	9	13	11	4	2	2	7	7	8	2	2	2	2	5	2 	10	5	302
McLaren		Ret	17	8	11	19	10	17	13	16	4	5	Ret	9	12	7	3	3	Ret	8	14	Ret	6	NA
AstonMartin	3	3	3	4	3	2	6	2	5	7	9	5	2	9	15	8	6	7	17	3	5	7	280
AstonMartin	6	Ret	4	7	12	Ret	7	9	9	14	10	9	11	16	WD	Ret	11	Ret	Ret	5	9	10	NA
Alpine		9	8	13	14	8	3	8	8	10	18	Ret	8	3	15	6	9	7	6	10	7	4	12	120
Alpine		Ret	9	14	15	9	7	10	12	14	Ret	Ret	11	10	Ret	Ret	10	12	Ret	11	10	11	13	NA
Williams	10	16	16	12	14	14	16	7	11	8	11	14	8	7	11	Ret	13	9	9	11	12	14	28
Williams	12	Ret	Ret	16	20	18	20	Ret	13	11	18	17	Ret	13	14	Ret	Ret	10	16	Ret	16	16	NA
AlphaTauri	11	11	10	10	11	12	12	14	17	16	13	10	13	11	9	11	15	8	7	9	14	8	25
AlphaTauri	14	14	15	Ret	18	15	14	18	19	17	15	16	15	DNS	Ret	12	17	15	12	13	18	11	NA
AlfaRomeo	8	13	9	18	13	11	9	10	12	12	12	12	14	10	12	13	8	12	14	Ret	15	17	16
AlfaRomeo	16	18	11	Ret	16	13	19	16	15	15	16	13	Ret	14	Ret	Ret	9	13	15	Ret	17	19	NA
Haas		13	10	7	13	10	17	15	15	18	13	14	15	12	17	10	14	14	11	13	12	13	15	12
Haas		15	12	17	17	15	19	18	17	Ret6	Ret	17	18	16	18	13	15	16	14	Ret	Ret	19†	20	NA
