   ME CZ BE BY SW AM AD CH TR IL BG IS MK RO FI PT MT BA DE UK
ME NA  0  0  3  0  5  1  2  5  1  0  0  8  0  0  1  6 10  2  0
CZ  0 NA  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
BE  0  0 NA  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
BY  2  1  0 NA  1  4  0  0  0  4  1  1  6  0  4  0  1  0  0  0
SW  0  6  4  7 NA  8  7  4  4  7  0 10  3  4 10  8  8  4  4  7
AM  4 12 10 10  5 NA  0  1 10 10  8  2  2  8  1  0  0  1 10  5
AD  0  0  0  0  0  0 NA  0  1  0  0  0  0  0  0  4  3  0  0  0
CH  0  0  0  2  2  0  2 NA  0  0  0  0  0  0  5  2  0  2  0  0
TR  8  5 12  6  7 10  5 12 NA  6 12  7 12 12  7  5 10 12 12 12
IL  5  4  3  4  6  7  8  5  3 NA  4  6  1  3  6  0  4  0  5  1
BG  0  0  0  0  0  0  0  0  2  0 NA  0  5  0  0  0  0  0  0  0
IS  7 10  7 12 12 12 10  7  8 12  6 NA  4 10 12 12 12  7  6  8
MK 10  3  0  0  0  0  0  6  6  0 10  0 NA  2  0  0  0  8  0  0
RO  6  0  2  1  0  2  4  0  7  8  5  4  7 NA  0 10  2  6  1  2
FI  3  0  1  0 10  0  3  0  0  0  0 12  0  1 NA  3  5  0  0  4
PT  0  2  6  0  3  0 12 10  0  2  2  8  0  7  2 NA  0  3  7  6
MT  1  7  8  8  4  3  6  3  0  5  3  5  0  6  3  6 NA  5  3 10
BA 12  8  5  5  8  6  0  8 12  3  7  3 10  5  8  7  7 NA  8  3
