   AU AZ BE CY CZ EE FI GE IE IL MT ME MK PL RO SM RS SE DE ES UK
AU NA  4  8 10  8 10 10  1  5 10 10  0  5  1  5  4  2 12  6 10  3
AZ  3 NA  3  6  4  6  7 12  0  0  4  8  1 10  7  6  8  5 10 12  8
BE  8  0 NA  3  6  5  0  0  2  7  0  0 10  0  0  0  6  8  5  8  2
CY  0  0  0 NA  0  0  3  0  4  0  0  1  0  0  0  0  0  2  0  0  0
CZ  2  0  4  4 NA  7  6  0 10  6  7  0  0  0  0  0  4  6  0  0 10
EE  5  0  0  7  7 NA  4  3  8  3  8  0  2  3  4  1 10 10  4  0  4
FI  0  5  5  2  2  8 NA  2  0  5  3  2  4  5  0  0  5  4  1  2  0
GE  1 10  0  0  5  3  0 NA  0  0  1 12  0  4  6 10  0  0  3  0  0
IE  6  0  1  1  0  4  0  4 NA  0  0  0  0  0  1  0  0  0  0  0  0
IL 10  0  7  0  0  0  0  5  3 NA  2  0  0  0  0  2  0  3  2  3  1
MT  0  0  0  0  1  1  0  0  6  2 NA  0  6  0  0  0  0  7  0  0  0
ME  0  7  0  0  0  0  0 10  0  0  0 NA  3  7  8  7  7  0  0  1  0
MK  7  1  0  0 10  0  2  0  1  0  5  3 NA  0  3  0  1  0 12  0  7
PL  0 12  6  8  3  0  1  6  0  8  6  5  8 NA 10  8  3  1  0  7  6 
RO  0  8  0  0  0  2  0  8  0  4  0  7  0  8 NA 12  0  0  8  4  0
SM  0  6 12  0  0  0  5  7  0  0  0  6  0 12 12 NA  0  0  0  0  0
RS  4  2  2  5  0  0  8  0  7  1  0 10 12  2  2  5 NA  0  0  5  5
SE 12  3 10 12 12 12  12 0 12 12 12  4  7  6  0  3 12 NA  7  6 12
