		AUS	MAL	BHR	SMR	ESP	MON	EUR	CAN	USA	FRA	GBR	GER	HUN	TUR	ITA	BEL	BRA	JPN	CHN	Points
 Alonso		3	1	1	1	2	4	1	Ret	DNS	1	2	1	11	2	2	2	3	3	1	133
 Raikkonen	8	9	3	Ret	1	1	11	1	DNS	2	3	Ret	1	1	4	1	2	1	2	112
 Schumacher_M	Ret	7	Ret	2	Ret	7	5	2	1	3	6	5	2	Ret	10	Ret	4	7	Ret	62
 Montoya	6	4	0	0	7	5	7	DSQ	DNS	Ret	1	2	Ret	3	1	14	1	Ret	Ret	60
 Fisichella	1	Ret	Ret	Ret	5	12	6	Ret	DNS	6	4	4	9	4	3	Ret	5	2	4	58
 Schumacher_R	12	5	4	9	4	6	Ret	6	WD	7	8	6	3	12	6	7	8	8	3	45
 Trulli		9	2	2	5	3	10	8	Ret	DNS	5	9	14	4	6	5	Ret	13	Ret	15	43
 Barrichello	2	Ret	9	Ret	9	8	3	3	2	9	7	10	10	10	12	5	6	11	12	38
 Button		11	Ret	Ret	DSQ	0	0	10	Ret	DNS	4	5	3	5	5	8	3	7	5	8	37
 Webber		5	Ret	6	7	6	3	Ret	5	DNS	12	11	NC	7	Ret	14	4	NC	4	7	36
 Heidfeld	Ret	3	Ret	6	10	2	2	Ret	DNS	14	12	11	6	Ret	WD	0	0	0	0	28
 Coulthard	4	6	8	11	8	Ret	4	7	DNS	10	13	7	Ret	7	15	Ret	Ret	6	9	24
 Massa		10	10	7	10	11	9	14	4	DNS	Ret	10	8	14	Ret	9	10	11	10	6	11
 Villeneuve	13	Ret	11	4	Ret	11	13	9	DNS	8	14	15	Ret	11	11	6	12	12	10	9
 Klien		7	8	DNS	0	0	0	0	8	DNS	Ret	15	9	Ret	8	13	9	9	9	5	9
 Monteiro	16	12	10	13	12	13	15	10	3	13	17	17	13	15	17	8	Ret	13	11	7
 Wurz		0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
 Karthikeyan	15	11	Ret	12	13	Ret	16	Ret	4	15	Ret	16	12	14	20	11	15	15	Ret	5
 Albers		Ret	13	13	Ret	Ret	14	17	11	5	Ret	18	13	NC	Ret	19	12	14	16	16	4
 Rosa		0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
 Friesacher	17	Ret	12	Ret	Ret	Ret	18	Ret	6	Ret	19	0	0	0	0	0	0	0	0	3
 Pizzonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	15	Ret	Ret	13	2
 Sato		14	WD	Ret	DSQ	0	0	12	Ret	DNS	11	16	12	8	9	16	Ret	10	DSQ	Ret	1
 Liuzzi		0	0	0	8	Ret	Ret	9	0	0	0	0	0	0	0	0	0	0	0	0	1
 Doornbos	0	0	0	0	0	0	0	0	0	0	0	18	Ret	13	18	13	Ret	14	14	0
 Davidson	0	Ret	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 Zonta		0	0	0	0	0	0	0	0	DNS	0	0	0	0	0	0	0	0	0	0	0
