		BHR	AUS	MAL	CHN	ESP	MON	TUR	CAN	EUR	GBR	GER	HUN	BEL	ITA	SIN	JPN	KOR	BRA	ABU	points
 Vettel	     	4	Ret	1	6	3	2	Ret	4	1	7	3	3	15	4	2	1	Ret	1	1	256
 Alonso		1	4	13	4	2	6	8	3	8	14	1	2	Ret	1	1	3	1	3	7	252
 Webber		8	9	2	8	1	1	3	5	Ret	1	6	1	2	6	3	2	Ret	2	8	242
 Hamilton	3	6	6	2	14	5	1	1	2	2	4	Ret	1	Ret	Ret	5	2	4	2	240
 Button		7	1	8	1	5	Ret	2	2	3	4	5	8	Ret	2	4	4	12	5	3	214
 Massa		2	3	7	9	6	4	7	15	11	15	2	4	4	3	8	Ret	3	15	10	144
 Rosberg	5	5	3	3	13	7	5	6	10	3	8	Ret	6	5	5	17	Ret	6	4	142
 Kubica		11	2	4	5	8	3	6	7	5	Ret	7	Ret	3	8	7	Ret	5	9	5	136
 Schumacher_M	6	10	Ret	10	4	12	4	11	15	9	9	11	7	9	13	6	4	7	Ret	72
 Barrichello	10	8	12	12	9	Ret	14	14	4	5	12	10	Ret	10	6	9	7	14	12	47
 Sutil		12	Ret	5	11	7	8	9	10	6	8	17	Ret	5	16	9	Ret	Ret	12	13	47
 Kobayashi	Ret	Ret	Ret	Ret	12	Ret	10	Ret	7	6	11	9	8	Ret	Ret	7	8	10	14	32
 Petrov		Ret	Ret	Ret	7	11	13	15	17	14	13	10	5	9	13	11	Ret	Ret	16	6	27
 Hulkenberg	14	Ret	10	15	16	Ret	17	13	Ret	10	13	6	14	7	10	Ret	10	8	16	22
 Liuzzi		9	7	Ret	Ret	15	9	13	9	16	11	16	13	10	12	Ret	Ret	6	Ret	Ret	21
 Buemi		16	Ret	11	Ret	Ret	10	16	8	9	12	Ret	12	12	11	14	10	Ret	13	15	8
 Rosa		Ret	12	DNS	Ret	Ret	Ret	11	Ret	12	Ret	14	7	11	14	0	0	0	0	0	6
 Heidfeld	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ret	8	9	17	11	6
 Alguersuari	13	11	9	13	10	11	12	12	13	Ret	15	Ret	13	15	12	11	11	11	9	5
 Kovalainen	15	13	NC	14	DNS	Ret	Ret	16	Ret	17	Ret	14	16	18	16	12	13	18	17	0
 Trulli		17	DNS	17	Ret	17	15	Ret	Ret	21	16	Ret	15	19	Ret	Ret	13	Ret	19	21	0
 Chandhok	Ret	14	15	17	Ret	14	20	18	18	19	0	0	0	0	0	0	0	0	0	0
 Senna_B	Ret	Ret	16	16	Ret	Ret	Ret	Ret	20	0	19	17	Ret	Ret	Ret	15	14	21	19	0
 Grassi		Ret	Ret	14	Ret	19	Ret	19	19	17	Ret	Ret	18	17	20	15	DNS	Ret	NC	18	0
 Glock		Ret	Ret	Ret	DNS	18	Ret	18	Ret	19	18	18	16	18	17	Ret	14	Ret	20	Ret	0
 Yamamoto	0	0	0	0	0	0	0	0	0	20	Ret	19	20	19	0	16	15	0	0	0
 Klien		0	0	0	0	0	0	0	0	0	0	0	0	0	Ret	0	0	0	22	20	0
