		AUS	BHR	CHN	AZE	ESP	MON	CAN	FRA	AUT	GBR	GER	HUN	BEL	ITA	SIN	RUS	JPN	USA	MEX	BRA	ABU	points
Hamilton	2	3	4	1	1	3	5	1	Ret	2	1	1	2	1	1	1	1	3	4	1	1	408
Vettel		1	1	8	4	4	2	1	5	3	1	Ret	2	1	4	3	3	6	4	2	6	2	320
Raikkonen	3	Ret	3	2	Ret	4	6	3	2	3	3	3	Ret	2	5	4	5	1	3	3	Ret	251
Verstappen	6	Ret	5	Ret	3	9	3	2	1	15	4	Ret	3	5	2	5	3	2	1	2	3	249
Bottas		8	2	2	14	2	5	2	7	Ret	4	2	5	4	3	4	2	2	5	5	5	5	247
Ricciardo	4	Ret	1	Ret	5	1	4	4	Ret	5	Ret	4	Ret	Ret	6	6	4	Ret	Ret	4	4	170
Hulkenberg	7	6	6	Ret	Ret	8	7	9	Ret	6	5	12	Ret	13	10	12	Ret	6	6	Ret	Ret	69
Perez		11	16	12	3	9	12	14	Ret	7	10	7	14	5	7	16	10	7	8	Ret	10	8	62
Magnussen	Ret	5	10	13	6	13	13	6	5	9	11	7	8	16	18	8	Ret	DSQ	15	9	10	56
Sainz		10	11	9	5	7	10	8	8	12	Ret	12	9	11	8	8	17	10	7	Ret	12	6	53
Alonso		5	7	7	7	8	Ret	Ret	16	8	8	16	8	Ret	Ret	7	14	14	Ret	Ret	17	11	50
Ocon		12	10	11	Ret	Ret	6	9	Ret	6	7	8	13	6	6	Ret	9	9	DSQ	11	14	Ret	49
Leclerc		13	12	19	6	10	18	10	10	9	Ret	15	Ret	Ret	11	9	7	Ret	Ret	7	7	7	39
Grosjean	Ret	13	17	Ret	Ret	15	12	11	4	Ret	6	10	7	DSQ	15	11	8	Ret	16	8	9	37
Gasly		Ret	4	18	12	Ret	7	11	Ret	11	13	14	6	9	14	13	Ret	11	12	10	13	Ret	29
Vandoorne	9	8	13	9	Ret	14	16	12	15	11	13	Ret	15	12	12	16	15	11	8	15	14	12
Ericsson	Ret	9	16	11	13	11	15	13	10	Ret	9	15	10	15	11	13	12	10	9	Ret	Ret	9
Stroll		14	14	14	8	11	17	Ret	17	14	12	Ret	17	13	9	14	15	17	14	12	18	13	6
Hartley		15	17	20	10	12	19	Ret	14	Ret	Ret	10	11	14	Ret	17	Ret	13	9	14	11	12	4
Sirotkin	Ret	15	15	Ret	14	16	17	15	13	14	Ret	16	12	10	19	18	16	13	13	16	15	1
