		AUS	BHR	CHN	AZE	ESP	MON	CAN	FRA	AUT	GBR	GER	HUN	BEL	ITA	SIN	RUS	JPN	MEX	USA	BRA	ABU	points
Hamilton	2	1	1	2	1	1	1	1	5	1	9	1	2	3	4	1	3	1	2	7	1	413
Bottas		1	2	2	1	2	3	4	2	3	2	Ret	8	3	2	5	2	1	3	1	Ret	4	326
Verstappen	3	4	4	4	3	4	5	4	1	5	1	2	Ret	8	3	4	Ret	6	3	1	2	278
Leclerc		5	3	5	5	5	Ret	3	3	2	3	Ret	4	1	1	2	3	6	4	4	18	3	264
Vettel		4	5	3	3	4	2	2	5	4	16	2	3	4	13	1	Ret	2	2	Ret	17	5	240
Sainz 		Ret	19	14	7	8	6	11	6	8	6	5	5	Ret	Ret	12	6	5	13	8	3	10	96
Gasly		11	8	6	Ret	6	5	8	10	7	4	14	6	9	11	8	14	7	9	16	2	18	95
Albon		14	9	10	11	11	8	Ret	15	15	12	6	10	5	6	6	5	4	5	5	14	6	92
Ricciardo	Ret	18	7	Ret	12	9	6	11	12	7	Ret	14	14	4	14	Ret	DSQ	8	6	6	11	54
Perez		13	10	8	6	15	12	12	12	11	17	Ret	11	6	7	Ret	7	8	7	10	9	7	52
Norris		12	6	18	8	Ret	11	Ret	9	6	11	Ret	9	11	10	7	8	11	Ret	7	8	8	49
Raikkonen	8	7	9	10	14	17	15	7	9	8	12	7	16	15	Ret	13	12	Ret	11	4	13	43
Kvyat		10	12	Ret	Ret	9	7	10	14	17	9	3	15	7	Ret	15	12	10	11	12	10	9	37
Hulkenberg	7	17	Ret	14	13	13	7	8	13	10	Ret	12	8	5	9	10	DSQ	10	9	15	12	37
Stroll		9	14	12	9	Ret	16	9	13	14	13	4	17	10	12	13	11	9	12	13	19	Ret	21
Magnussen	6	13	13	13	7	14	17	17	19	Ret	8	13	12	Ret	17	9	15	15	18	11	14	20
Giovinazzi	15	11	15	12	16	19	13	16	10	Ret	13	18	18	9	10	15	14	14	14	5	16	14
Grosjean	Ret	Ret	11	Ret	10	10	14	Ret	16	Ret	7	Ret	13	16	11	Ret	13	17	15	13	15	8
Kubica		17	16	17	16	18	18	18	18	20	15	10	19	17	17	16	Ret	17	18	Ret	16	19	1
Russell		16	15	16	15	17	15	16	19	18	14	11	16	15	14	Ret	Ret	16	16	17	12	17	0
