		BHR	SAU	AUS	EMI	MIA	ESP	MON	AZE	CAN	GBR	AUT	FRA	HUN	BEL	NED	ITA	SIN	JPN	USA	MXC	SAP	ABU	points
Verstappen	19	1	Ret	1 	1	1	3	1	1	7	2	1	1	1	1	1	7	1	1	1	6	1	454
Leclerc		1	2	1	6	2	Ret	4	Ret	5	4	1	Ret	6	6	3	2	2	3	3	6	4	2	308
Perez		18	4	2	2	4	2	1	2	Ret	2	Ret	4	5	2	5	6	1	2	4	3	7	3	305
Russell		4	5	3	4	5	3	5	3	4	Ret	4	3	3	4	2	3	14	8	5	4	1	5	275
Sainz		2	3	Ret	Ret	3	4	2	Ret	2	1	Ret	5	4	3	8	4	3	Ret	Ret	5	3	4	246
Hamilton	3	10	4	13	6	5	8	4	3	3	3	2	2	Ret	4	5	9	5	2	2	2	18	240
Norris		15	7	5	3	Ret	8	6	9	15	6	7	7	7	12	7	7	4	10	6	9	Ret	6	122
Ocon		7	6	7	14	8	7	12	10	6	Ret	5	8	9	7	9	11	Ret	4	11	8	8	7	92
Alonso		9	Ret	17	Ret	11	9	7	7	9	5	10	6	8	5	6	Ret	Ret	7	7	19	5	Ret	81
Bottas		6	Ret	8	5	7	6	9	11	7	Ret	11	14	20	Ret	Ret	13	11	15	Ret	10	9	15	49
Ricciardo	14	Ret	6	18	13	12	13	8	11	13	9	9	15	15	17	Ret	5	11	16	7	Ret	9	37
Vettel		DNS	DNS	Ret	8	17	11	10	6	12	9	17	11	10	8	14	Ret	8	6	8	14	11	10	37
Magnussen	5	9	14	9	16	17	Ret	Ret	17	10	8	Ret	16	16	15	16	12	14	9	17	Ret	17	25
Gasly		Ret	8	9	12	Ret	13	11	5	14	Ret	15	12	12	9	11	8	10	18	14	11	14	14	23
Stroll		12	13	12	10	10	15	14	16	10	11	13	10	11	11	10	Ret	6	12	Ret	15	10	8	18
Schumacher_M	11	WD	13	17	15	14	Ret	14	Ret	8	6	15	14	17	13	12	13	17	15	16	13	16	12
Tsunoda		8	DNS	15	7	12	10	17	13	Ret	14	16	Ret	19	13	Ret	14	Ret	13	10	Ret	17	11	12
Guanyu		10	11	11	15	Ret	Ret	16	Ret	8	Ret	14	16	13	14	16	10	Ret	16	12	13	12	12	6
Albon		13	14	10	11	9	18	Ret	12	13	Ret	12	13	17	10	12	WD	Ret	Ret	13	12	15	13	4
Latifi		16	Ret	16	16	14	16	15	15	16	12	Ret	Ret	18	18	18	15	Ret	9	17	18	16	19	2
deVries		DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	9	DNS	DNS	DNS	DNS	DNS	DNS 	2
Hulkenberg	17	12	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	0
