		AUS	CHN	JPN	BHR	SAU	MIA	EMI	MON	ESP	CAN	AUT	GBR	BEL	HUN	NED	ITA	AZE	SIN	USA	MXC	SAP	LVG	QAT	ABU	points
 Norris		1	2	2	3	4	2	2	1	2	18	1	1	2	1	18	2	7	3	2	1	1	DSQ	4	3	423
 Verstappen	2	4	1	6	2	4	1	4	10	2	Ret	5	4	9	2	1	1	2	1	3	3	1	1	1	421
 Piastri	9	1 	3	1	1	1	3	3	1	4	2	2	1	2	1	3	Ret	4	5	5	5	DSQ	2  	2	410
 Russell	3	3	5	2	5	3	7	11	4	1	5	10	5	3	4	5	2	1	6	7	4	2	6	5	319
 Leclerc	8	DSQ	4	4	3	7	6	2	3	5	3	14	3	4	Ret	4	9	6	3	2	Ret	4	8	4	242
 Hamilton	10	DSQ	7	5	7	8	4	5	6	6	4	4	7	12	Ret	6	8	8	4	8	Ret	8	12	8	156
 Antonelli	4	6	6	11	6	6	Ret	18	Ret	3	Ret	Ret	16	10	16	9	4	5	13 	6	2	3	5	15	150
 Albon		5	7	9	12	9	5	5	9	Ret	Ret	Ret	8	6	15	5	7	13	14	14	12	11	Ret	11	16	73
 Sainz		Ret	10	14	Ret	8	9	8	10	14	10	DNS	12	18	14	13	11	3	10	Ret	17	13	5	3	13	64
 Alonso		Ret	Ret	11	15	11	15	11	Ret	9	7	7	9	17	5	8	Ret	15	7	10	Ret	14	11	7	6	56
 Hulkenberg	7	15	16	DSQ	15	14	12	16	5	8	9	3	12	13	14	DNS	16	20	8	Ret	9	7	Ret	9	51
 Hadjar		DNS	11	8	13	10	11	9	6	7	16	12	Ret	20	11	3	10	10	11	16	13	8	6	18	17	51
 Bearman	14	8	10	10	13	Ret	17	12	17	11	11	11	11	Ret	6	12	12	9	9	4	6	10	Ret	12	41
 Lawson		Ret	12	17	16	12	Ret	14	8	11	Ret	6	Ret	8	8	12	14	5	15	11	Ret	7	14	9	18	38
 Ocon		13	5	18	8	14	12	Ret	7	16	9	10	13	15	16	10	15	14	18	15	9	12	9	15	7	38
 Stroll		6	9	20	17	16	16	15	15	WD	17	14	7	14	7	7	18	17	13	12	14	16	Ret	17	10	33
 Tsunoda	12	16	12	9	Ret	10	10	17	13	12	16	15	13	17	9	13	6	12	7	11	17	12	10	14	33
 Gasly		11	DSQ	13	7	Ret	13	13	Ret	8	15	13	6	10	19	17	16	18	19	19	15	10	13	16	19	22
 Bortoleto	Ret	14	19	18	18	Ret	18	14	12	14	8	Ret	9	6	15	8	11	17	18	10	Ret	Ret	13	11	19
 Colapinto	DNS	DNS	DNS	DNS	DNS	DNS	16	13	15	13	15	DNS	19	18	11	17	19	16	17	16	15	15	14	20	0
 Doohan		Ret	13	15	14	17	Ret	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	DNS	0
 
