year venue pole	conditions
2017 AUS Hamilton   dry 
2017 CHN Hamilton   wet 
2017 BHR Bottas     dry 
2017 RUS Vettel     dry 
2017 ESP Hamilton   dry 
2017 MON Raikkonen  dry 
2017 CAN Hamilton   dry 
2017 AZE Hamilton   dry 
2017 AUT Bottas     dry 
2017 GBR Hamilton   dry 
2017 HUN Vettel     dry 
2017 BEL Hamilton   dry 
2017 ITA Hamilton   dry 
2017 SIN Vettel     wet 
2017 MAL Hamilton   dry 
2017 JPN Hamilton   dry 
2017 USA Hamilton   dry 
2017 MEX Vettel     dry 
2017 BRA Bottas     dry 
2017 ABU Bottas     dry 
