		BHR	SAU	AUS	EMI	MIA	ESP	MON	AZE	CAN	GBR	AUT	FRA	HUN	BEL	NED	ITA	SIN	JPN	USA	MXC	SAP	ABU	
Verstappen	2	4	2	1	3	2	4	3	1	2	1	2	10	1	1	2	8	1	3	1	2	1	
Leclerc		1	2	1	2	1	1	1	1	15	3	2	1	3	4	2	1	1	2	2	7	10	3	
Perez		4	1	3	7	4	5	3	2	13	4	13	3	11	3	5	4	2	4	4	4	9	2	
Russell		9	6	6	11	12	4	6	5	8	8	4	6	1	8	6	6	11	8	6	2	3	6	
Sainz		3	3	9	10	2	3	2	4	3	1	3	9	2	2	3	3	4	3	1	5	5	4	
Hamilton	5	16	5	13	6	6	8	7	4	5	9	4	7	7	4	5	3	6	5	3	8	5	
Norris		13	11	4	3	8	11	5	11	14	6	15	5	4	10	7	7	6	10	8	8	4	7	
Ocon		11	5	8	19	20	12	10	13	7	15	5	12	5	5	12	11	18	5	18	10	6	8	
Alonso		8	7	10	5	11	17	7	10	2	7	8	7	6	6	13	10	5	7	9	9	7	11	
eBottas		6	8	12	8	5	7	12	15	11	12	12	13	8	20	16	12	16	12	10	6	18	18	
Ricciardo	18	12	7	6	14	9	14	12	9	14	16	11	9	11	17	8	17	11	17	11	14	10	
Vettel		NA	NA	17	9	13	16	9	9	17	18	20	14	18	16	18	17	14	9	12	17	13	9	
Magnussen	7	10	16	4	16	8	13	16	5	17	6	10	13	18	19	19	9	18	16	15	1	16	
Gasly		10	9	11	17	7	14	17	6	16	11	10	16	19	12	11	9	7	17	13	14	12	17	
Stroll		19	15	20	15	10	18	18	19	18	20	17	17	14	14	10	18	12	19	7	18	15	14	
Schumacher_Mick	12	14	15	12	15	10	15	20	6	19	7	19	15	15	8	20	13	15	19	16	20	13	
Tsunoda		16	20	13	16	9	13	11	8	20	13	14	8	16	19	9	15	10	13	15	13	19	12	
Guanyu		15	13	14	14	17	15	20	14	10	9	18	18	12	13	14	14	15	14	14	12	17	15	
Albon		14	17	19	20	18	19	16	17	12	16	11	15	17	9	15	NA	19	16	11	19	11	19	
Latifi		20	19	18	18	19	20	19	18	19	10	19	20	20	17	20	16	20	20	20	20	16	20	
deVries		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	NA	NA	NA	NA	NA	NA	
Hulkenberg	17	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
