		BHR	SAU	AUS	AZE	MIA	MON	ESP	CAN	AUT	GBR	HUN	BEL	NED	ITA	SIN	JPN	QAT	USA	MXC	SAP	LVG	ABU	 
 Verstappen	1	15	1       3	9	1	1	1	1	1	 2	1	1	2	11	1	1	6	3	1	3	1	 
 Perez		2	1	20     	2	1	20	11	12 	2	15	 9	3	7	5	13	5	13	9	5	9	12	9	 
 Hamilton	7	8	3	6	13	6	5	4 	18	7	 1	4	13	8	5	7	3	3	6	5	11	11	 
 Alonso		5	3	4	8	2	2	9	3 	7	9	 8	9	5	10	7	10	4	17	13	4	10	7	 
 Leclerc	3	2	7	1	7	3	19	11 	6	4	 6	2	9	3	3	4	5	1	1	2	1	2	 
 Norris		11	19	13	10	16	10	3	7 	3	2	 3	7	2	9	4	3	10	2	19	7	16	5	 
 Sainz		4	5	5	5	3	5	2	8 	5	5	 11	5	6	1	1	6	12	4	2	8	2	16	 
 Russell	6	4	2	4	6	8	12	5 	15	6	 18	8	3	4	2	8	2	5	8	6	4	4	 
 Piastri	18	9	16	11	19	11	10	9 	17	3	 4	6	8	7	17	2	6	10	7	10	19	3	 
 Stroll		8	6	6	9	18	14	6	13 	8	12	 14	10	11	20	20	17	17	19	18	3	14	13	 
 Gasly		20	10	9	19	5	7	4	17 	12	10	 15	12	12	17	12	12	7	7	11	13	5	10	 
 Ocon		9	7	11	13	8	4	7	6 	9	13	 12	15	17	18	8	14	8	8	16	12	17	12	 
 Albon		15	17	8	7	11	13	18	10 	11	8	 16	16	4	6	14	13	14	18	14	15	6	14	 
 Tsunoda	14	16	12	18	17	9	15	16 	13	16	 17	11	14	11	15	9	11	11	15	16	20	6	 
 Bottas		12	14	19	17	10	15	16	15 	19	20	 7	14	19	14	16	16	9	13	9	18	8	18	 
 Hulkenberg	10	11	10	12	12	18	8	2 	4	11	 10	20	15	13	9	18	15	16	12	11	13	8	 
 Ricciardo	NA	NA	NA	NA	NA	NA	NA	NA 	NA	NA	 13	19	NA	NA	NA	NA	NA	15	4	17	15	15	 
 Guanyu		13	12	17	16	14	19	13	20 	16	17	 5	17	16	16	19	19	20	12	10	20	18	19	 
 Magnussen	17	13	14	14	4	17	17	14 	10	19	 19	13	18	19	6	15	19	14	17	14	9	17	 
 Lawson		NA	NA	NA	NA	NA	NA	NA	NA 	NA	NA	 NA	NA	20	12	10	11	18	NA	NA	NA	NA	NA	 
 Sargeant	16	NA	18	15	20	16	20	19 	20	14	 20	18	10	15	18	20	16	20	20	19	7	20	 
 deVries	19	18	15	20	15	12	14	18 	14	18	 NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	 
