		QAT	ARG	AME	SPA	FRA	ITA	CAT	NED	GER	CZE	AUT	GBR	RSM	ARA	THA	JPN	AUS	MAL	VAL     points
Marquez	    	2	1	Ret	1	1	2	1	2	1	1	2	2	1	1	1	1	1	2	1	420
Dovizioso	1	3	4	4	2	3	Ret	4	5	2	1	Ret	6	2	4	3	7	3	4	269
Vinales		7	Ret	11	3	Ret	6	Ret	1	2	10	5	3	3	4	3	4	Ret	1	6	211
Rins		4	5	1	2	10	4	4	Ret	Ret	4	6	1	Ret	9	5	7	9	5	5	205
Quartararo	16	8	7	Ret	8	10	2	3	Ret	7	3	Ret	2	5	2	2	Ret	7	2	192
Petrucci	6	6	6	5	3	1	3	6	4	8	9	7	10	12	9	9	Ret	9	Ret	176
Rossi		5	2	2	6	5	Ret	Ret	Ret	8	6	4	4	4	8	8	Ret	8	4	8	174
Miller		Ret	4	3	Ret	4	Ret	5	9	6	3	Ret	8	9	3	14	10	3	8	3	165
Crutchlow	3	13	Ret	8	9	8	Ret	7	3	5	Ret	6	Ret	6	12	5	2	Ret	Ret	133
Morbidelli	11	Ret	5	7	7	Ret	Ret	5	9	Ret	10	5	5	Ret	6	6	11	6	Ret	115
P_Espargaro	12	10	8	13	6	9	7	11	12	11	Ret	9	7	DNS	13	11	12	11	10	100
Mir		8	Ret	17	Ret	16	12	6	8	7	Ret	0	0	8	14	7	8	5	10	7	92
Nakagami	9	7	10	9	Ret	5	8	Ret	14	9	11	17	18	10	10	16	0	0	0	74
A_Espargaro	10	9	Ret	11	12	11	Ret	12	Ret	18	14	Ret	12	7	Ret	15	10	13	9	63
Bagnaia		Ret	14	9	Ret	Ret	Ret	Ret	14	17	12	7	11	Ret	16	11	13	4	12	DNS	54
Iannone		14	17	12	DNS	Ret	15	11	10	13	17	16	10	DNS	11	15	Ret	6	Ret	Ret	43
Oliveira	17	11	14	18	15	16	12	13	18	13	8	Ret	16	13	16	12	DNS	DNS	0	33
Zarco		15	15	13	14	13	17	10	Ret	Ret	14	12	Ret	11	0	0	0  	13	Ret	Ret 	30
Lorenzo		13	12	Ret	12	11	13	Ret	DNS	0	0	0	14	14	20	18	17	16	14	13	28
Rabat		19	Ret	15	15	Ret	Ret	9	16	11	16	Ret	16	13	15	17	DNS	Ret	0	11	23
Bradl		0	0	0	10	0	0	0	0	10	15	13	0	0	0	0	0	0	0	0	16
Pirro		0	0	0	0	0	7	0	0	0	0	0	0	Ret	0	0	0	0	0	Ret	9
Syahrin		20	16	18	19	14	Ret	Ret	15	16	Ret	Ret	13	15	21	20	19	15	16	15	9
Abraham		18	Ret	16	16	DSQ	14	Ret	17	15	19	15	15	17	18	19	18	14	17	14	9
Guintoli	0	0	0	0	0	0	13	0	0	20	0	12	0	0	0	20	0	0	0	7
Kallio		0	0	0	0	0	0	0	0	0	0	0	0	0	17	Ret	14	Ret	15	12	7
Smith		Ret	0	0	17	0	0	Ret	0	0	0	0	0	0	19	0	0	0	0	0	0
Lecuona		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Ret	0

