year heat rank n
2004 H1  6 8
2004 H2  7 8
2004 H3  5 9
2004 H4  2 9
2004 H5  1 8
2004 H6  6 8 
2004 H7  4 9 
2004 H8  1 9
2004 H9  2 8
2004 H10 5 8
2008 H1  4 8
2008 H2  4 8
2008 H3  4 8
2008 H4  6 8
2008 H5  1 8
2008 H6  4 8
2008 H7  2 8
2008 H8  3 8
2008 H9  5 8
2008 H10 7 8
2012 H1  8 8
2012 H2  8 8
2012 H3  8 8
2012 H4  7 8
2012 H5  7 8
2012 H6  8 8
2012 H7  6 8
2016 H1  5 9
2016 H2  3 9
2016 H3  4 8
2016 H4  4 9
2016 H5  6 9
2016 H6  4 8
2016 H7  8 9
2016 H8  2 9
2020 H1  4 9
2020 H2  8 9
2020 H3  3 9
2020 H5  4 9
2020 H6  4 9 
2020 H7  1 9

