venue    date       run place runners time
stirling 13/09/2025 234 209 306 32:45
stirling 06/09/2025 233 191 233 36:51
stirling 30/08/2025 232 231 313 35:15
stirling 16/08/2025 230 289 341 35:58
stirling 09/08/2025 229 247 293 37:12
stirling 19/07/2025 226 200 264 33:56
stirling 05/07/2025 224 200 251 NA
stirling 28/06/2025 223 224 271 NA
stirling 07/06/2025 220 214 274 34:02
stirling 31/05/2025 219 197 262 NA
stirling 03/05/2025 215 180 243 33:09
stirling 19/04/2025 213 281 349 35:21
stirling 29/03/2025 210 248 263 42:00
stirling 22/03/2025 209 258 304 36:30
stirling 08/03/2025 207 284 321 37:55
stirling 01/03/2025 206 269 291 NA
stirling 15/02/2025 204 272 308 NA
stirling 08/02/2025 203 300 331 NA
stirling 01/02/2025 202 297 341 36:52
stirling 16/11/2024 193 160 236 32:00
stirling 09/11/2024 192 203 280 35:58
stirling 20/04/2024 163 145 193 NA
stirling 13/04/2024 162 157 240 32:48
stirling 06/04/2024 161 156 197 33:21
stirling 23/03/2024 159 191 257 NA
stirling 16/03/2024 158 172 227 33:54
stirling 02/03/2024 156 174 234 NA
stirling 24/02/2024 155 173 238 32:37
stirling 17/02/2024 154 165 238 32:20
stirling 10/02/2024 153 172 196 36:26
stirling 03/02/2024 152 199 242 NA
stirling 27/01/2024 151 181 242 33:54
stirling 06/01/2024 148 229 318 33:36
auckland 18/11/2023 544 177 259 NA
auckland 11/11/2023 543 222 305 33:45
auckland 04/11/2023 542 206 297 NA
auckland 28/10/2023 541 142 241 32:10
auckland 21/10/2023 540 118 179 34:06
auckland 14/10/2023 539 224 338 34:19
auckland 09/09/2023 538 128 203 NA
auckland 02/09/2023 537 115 245 NA
auckland 19/08/2023 531 183 254 NA
auckland 12/08/2023 530 150 244 31:52
