		      Botenga   Bompard   Ernst   Chahim   Pereira   Buzek   Groothuis   Kaljurand   Rego  
  Budget              12   	20   	  17   	  0   	   7         17      8		 1   	     13  
  Climate  	      137   	293   	  232     43   	   44        136     82   	 0   	     174  
  Economy             48   	79   	  46   	  14   	   14        35      54   	 13   	     20  
  Energy              121   	244   	  169     48   	   68        204     153   	 0   	     145  
  Enterprise          79   	71   	  79      12   	   82        80      164   	 8   	     82  
  Future              17   	66   	  65   	  4   	   11        35      75   	 40          16  
  Geography           53   	121   	  85   	  13   	   28        49      39   	 13   	     44  
  Health              135   	168   	  39   	  1   	   52        0       6   	 0   	     107  
  Industry            99   	211   	  105     25   	   47        75      63   	 4   	     107  
  Infrastructure      14   	50   	  32   	  10   	   17        54      83   	 5   	     24  
  Labour              66 	111 	  84      9 	   40        3       5           2           40  
  Mining     	      27   	155   	  138     11   	   0   	     112     50 	 0 	     115  
  Mode      	      35   	48   	  34   	  9   	   6   	     7       16   	 13   	     28  
  Science             47   	59   	  28   	  6   	   21        13      30   	 0   	     46  
  Security            18   	67   	  39   	  1   	   5   	     18      27   	 76   	     20  
  Social              65   	74   	  80   	  16   	   37        16      13   	 4   	     49  
  SRDi                0.234   	0.297     0.312   0.352    0.352     0.484   0.547   	 0.891       0  
