		run1	run2	run3	run4
Grotheer 	1 	1 	1 	6
Jungk 		5 	2 	2 	3
Wengang 	3 	4 	6 	1
Tretyakov 	2 	8 	3 	4
Zheng 		7 	5 	4 	2
Rukosuev 	4 	6 	7 	8
Dukurs_M 	6 	3 	5	13
Gassner 	9 	9 	8 	5
Dukurs_T 	8 	7 	10 	10
Seunggi 	11 	10 	9 	9
Bagnis 		10 	14 	11 	12
Sungbin 	13 	13 	12	7
Maier 		15 	11 	13	11
Gaspari 	12 	15 	15	16
Weston 		14 	12 	14	20
Wyatt 		16 	18 	16	15
Schlintner 	17 	19 	19	14
Heraskevy 	18 	16 	18	17
Crumpton 	22 	17 	17	18
Enzie 		19 	20 	21	19
Blaser 		20 	21 	22	DNS
Sieber 		21 	22 	25	DNS
Romanov 	24 	23 	23	DNS
Mirambell 	23 	25 	24	DNS
Timmings 	25 	24 	20 	DNS
