                I   II  III IV  V  VI
norway		5   2   1   3   5  16
nz		3   3   10  2   7  3
netherlands	1   5   13  11  1  1
USA		4   14  2   16  2  2
russia		2   8   4   8   6  9
australia	8   11  6   1   9  14
UK		13  7   8   4   4  13
ukraine		12  1   7   6   15 12
france		9   13  11  9   3  7
germany		14  10  3   7   10 11
sweden		7   15  5   10  16 5
denmark		6   16  12  12  11 4
canada		10  9   9   13  12 8
italy 		16  6   14  5   14 10
finland		11  4   15  14  13 15
spain		15 12   16  15  8  6
