uni   year	Teaching Research Citations Industry International
UoA 	   2012 28.3	35.0	55.7	76.6	92.9
Otago 	   2012 24.5	28.0	48.0	27.8	88.8
AUT  	   2012 DNP	DNP	DNP	DNP	DNP
Canterbury 2012 17.3	24.3	30.5	26.6	76.3
Lincoln    2012 DNP	DNP	DNP	DNP	DNP
Massey     2012 17.4	17.2	24.5	DNP	77.8
Victoria   2012 16.5	21.5	51.1	25.8	89.0
Waikato    2012 13.3	13.9	47.8	24.5	87.0

UoA 	   2013 34.0	40.9	64.2	76.6	88.0
Otago 	   2013 28.8	30.9	54.8	37.2	85.4
AUT  	   2013 DNP	DNP	DNP	DNP	DNP
Canterbury 2013 19.9	24.0	48.4	49.8	88.0
Lincoln    2013 DNP	DNP	DNP	DNP	DNP
Massey     2013 19.2	19.2	37.6	66.0	73.3
Victoria   2013 22.3	29.1	55.6	43.0	84.8
Waikato    2013 17.7	19.9	61.9	28.2	85.6

UoA 	   2014 26.7	33.5	67.0	74.5	88.0
Otago 	   2014 24.6	26.9	56.9	37.6	84.8
AUT  	   2014 DNP	DNP	DNP	DNP	DNP
Canterbury 2014 18.2	24.4	51.6	52.3	88.0
Lincoln    2014 DNP	DNP	DNP	DNP	DNP
Massey     2014 DNP	DNP	DNP	DNP	DNP
Victoria   2014 19.7	27.7	52.9	46.4	82.9
Waikato    2014 18.4	18.1	56.9	46.3	82.4

UoA 	   2015 28.6	33.4	68.4	74.2	87.3
Otago 	   2015 27.1	27.7	57.6	31.9	81.5
AUT  	   2015 DNP	DNP	DNP	DNP	DNP
Canterbury 2015 21.1	23.4	53.8	49.5	88.2
Lincoln    2015 DNP	DNP	DNP	DNP	DNP
Massey     2015 DNP	DNP	DNP	DNP	DNP
Victoria   2015 21.6	28.5	53.8	49.7	84.2
Waikato    2015 18.6	17.0	50.0	50.0	80.3

UoA 	   2016 31.4	39.5	69.8	78.0	90.5
Otago 	   2016 30.7	30.5	74.9	31.5	89.9
AUT  	   2016 17.3	 9.8	21.7	28.5	95.6
Canterbury 2016 23.5	22.5	38.9	52.1	91.0
Lincoln    2016 DNP	DNP	DNP	DNP	DNP
Massey     2016 23.1  	17.1	31.9	35.8	80.5
Victoria   2016 26.0    28.7    44.3	45.6	88.8
Waikato    2016 19.3 	18.2	53.7	30.7	87.0

UoA 	   2017 32.8	40.8	75.8	70.5	90.5
Otago 	   2017 30.5	30.7	80.1	35.6	88.6
AUT  	   2017 17.8	12.5	45.9	33.9	94.8
Canterbury 2017 23.8	26.8	56.2	40.5	89.7
Lincoln    2017 25.5	20.8	49.6	41.7	86.0
Massey     2017 22.5	19.6	43.3	39.1	92.2
Victoria   2017 23.3	30.2	48.4	53.6	88.6
Waikato    2017 20.9	23.2	49.5	34.7	87.8

UoA 	   2018 32.5	40.7	73.8	67.3	90.6
Otago 	   2018 31.2	30.7	82.2	45.1	88.6
AUT  	   2018 19.7	14.2	60.5	33.5	96.1
Canterbury 2018 23.7	26.9	60.9	37.9	90.4
Lincoln    2018 29.1	16.1	41.8	36.6	83.7
Massey     2018 22.5	18.9	48.9	37.6	92.5
Victoria   2018 27.6	30.4	48.0	57.2	87.6
Waikato    2018 21.0	24.1	63.5	39.1	89.2

UoA        2019	30.1	40.7	76.5	61.6	91.7
Otago 	   2019	27.9	30.7	82.6	37.4	89.5
AUT   	   2019	17.3	16.6	91.4	35.6	96.0
Canterbury 2019	22.4	26.6	74.9	36.7	92.1
Lincoln    2019 23.0	19.6	43.5	52.4	93.1
Massey     2019	20.1	17.2	50.2	40.2	92.8
Victoria   2019	23.1	30.7	50.1	55.1	88.6
Waikato    2019 19.8	23.8	65.5	42.2	84.4	

UoA 	   2020 31.4	43.9	80.2	62.4	94.0
Otago 	   2020 30.2	32.1	84.7	37.0	89.8
AUT  	   2020 19.7	18.4	98.0	36.7	95.8
Canterbury 2020 24.3	27.2	72.7	38.5	93.1
Lincoln    2020 24.4	19.9	47.9	51.5	94.2
Massey     2020 22.9	18.9	49.1	41.5	92.8
Victoria   2020 23.0	31.8	45.5	57.2	88.7
Waikato    2020 20.8	26.3	48.8	43.4	86.2








