p1 p2 p3 p4 p5 p6 p7 p8 p9
 1  0 NA  1  0  0 NA  1 NA 
NA NA  1  1  0  1  0  0 NA 
NA NA  1  1  0 NA  1  0 NA 
NA  1  1  0  0 NA  1  1 NA 
 1  1  1  0  0  0 NA NA NA 
 1  1  0 NA  1  1  0  0  0 
 0  1  0 NA  1  1  0  1  0 
 1  1  0 NA  0  1  0  0  0 
 1  0  1 NA  0  0  1  1  0 
NA NA NA NA NA  0  1  1  0 
 0 NA  1  1  0  0  1  1  0 
NA NA  1  0  1  0  1  1  0 
NA NA  1  0  1  0  1  1  0 
 0  1  0  1  0 NA NA NA  0 
 1  0  0  1  1 NA NA NA  0 
 1  0  1  0  1  0  0  1  0 
 1  0  1  0  1  0  0  0  0 
 1  0  1  0  1  0  0  1  0 
 1  0  1 NA NA  0  0  1  0 
 1  0  1 NA  1  0  0  1  0 
 1  0  1  0  1  0 NA  0  1 
 1  0  1  0  1  0  0 NA  0 
NA NA NA  0 NA NA  0  0  1 
NA NA NA  0 NA NA  0  0  1 
NA  0 NA NA NA  0  0  1  1 
NA NA  1  0  1  0  1  1  0 
NA  1 NA NA NA  1  0  0  1 
 1  1  0  0  1  0  0  0 NA 
 1  0  0  0  1  0  0  1  1 
 1  0 NA  0  1  0  0  1  1 
 1  0 NA  0  1  0  0 NA  1 
 1  0 NA  1  0  0  0 NA  1 
 1  0 NA  1  0  1  0 NA  1 
 1  0 NA  0  1  1  0 NA  1 
 1  0 NA  0  1  0  0 NA  1 
 1  0 NA NA  1  0  0 NA  1 
 1  0  0  0  0  1  1  0  1 
NA  1  1  1  0  0  1  0  0 
NA  1  1  1  0  0  1  0  0 
 1  0  0  1 NA NA NA NA NA 
 0  1  0  0  0  1  1  1  0 
 0  1  1  0  0  0  1  1  1 
 0  0  1  1  1  1  1  1  1 
NA  1 NA  0 NA  1 NA  1  0 
 1  0  0  1  0  0  0 NA NA 
 0  1  1  0  1  1  1 NA NA 
 0  1  1  1  1  0  1  0  1 
 0  1  1  1  1  0  1  0  1 
 0  1  1  1  1  0  1 NA  1 
 0 NA  1  1  1  0  1 NA  1 
 0 NA  1  1  1  0  1 NA  1 
 0 NA  1  1  1  0  1 NA  1
